,lon,lat,alt,accuracy,speed,angle
20140120 15:35:12:563,-4.672306823730469E8,-2.356012725830078E8,724.37244,40.0,5.8653584,113.5
20140120 15:35:12:772,-4.672306823730469E8,-2.356012725830078E8,724.37244,40.0,5.8653584,113.5
20140120 15:35:12:989,-4.672306823730469E8,-2.356012725830078E8,724.37244,40.0,5.8653584,113.5
20140120 15:35:13:159,-4.672306823730469E8,-2.356012725830078E8,724.37244,40.0,5.8653584,113.5
20140120 15:35:13:385,-4.672306823730469E8,-2.356012725830078E8,724.37244,40.0,5.8653584,113.5
20140120 15:35:13:537,-4.6723060607910156E8,-2.356013298034668E8,724.3706,40.0,6.7219825,135.5
20140120 15:35:13:737,-4.6723060607910156E8,-2.356013298034668E8,724.3706,40.0,6.7219825,135.5
20140120 15:35:13:937,-4.6723060607910156E8,-2.356013298034668E8,724.3706,40.0,6.7219825,135.5
20140120 15:35:14:137,-4.6723060607910156E8,-2.356013298034668E8,724.3706,40.0,6.7219825,135.5
20140120 15:35:14:337,-4.6723060607910156E8,-2.356013298034668E8,724.3706,40.0,6.7219825,135.5
20140120 15:35:14:554,-4.672304153442383E8,-2.3560144424438477E8,724.42566,40.0,11.94751,127.5
20140120 15:35:14:738,-4.672304153442383E8,-2.3560144424438477E8,724.42566,40.0,11.94751,127.5
20140120 15:35:14:936,-4.672304153442383E8,-2.3560144424438477E8,724.42566,40.0,11.94751,127.5
20140120 15:35:15:137,-4.672304153442383E8,-2.3560144424438477E8,724.42566,40.0,11.94751,127.5
20140120 15:35:15:339,-4.672304153442383E8,-2.3560144424438477E8,724.42566,40.0,11.94751,127.5
20140120 15:35:15:535,-4.67230224609375E8,-2.3560155868530273E8,724.4929,40.0,12.95315,118.0
20140120 15:35:15:736,-4.67230224609375E8,-2.3560155868530273E8,724.4929,40.0,12.95315,118.0
20140120 15:35:15:935,-4.67230224609375E8,-2.3560155868530273E8,724.4929,40.0,12.95315,118.0
20140120 15:35:16:138,-4.67230224609375E8,-2.3560155868530273E8,724.4929,40.0,12.95315,118.0
20140120 15:35:16:336,-4.67230224609375E8,-2.3560155868530273E8,724.4929,40.0,12.95315,118.0
20140120 15:35:16:550,-4.672301483154297E8,-2.356015396118164E8,724.6048,40.0,2.517309,58.599976
20140120 15:35:16:740,-4.672301483154297E8,-2.356015396118164E8,724.6048,40.0,2.517309,58.599976
20140120 15:35:16:936,-4.672301483154297E8,-2.356015396118164E8,724.6048,40.0,2.517309,58.599976
